"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 16:24:36 GMT 2024","Fri Jun 14 16:24:36 GMT 2024","315","tests.api","test_api_signup","","","","test_should_return_403_if_access_denied",""
"passed","Fri Jun 14 16:24:46 GMT 2024","Fri Jun 14 16:24:47 GMT 2024","687","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 16:24:35 GMT 2024","Fri Jun 14 16:24:35 GMT 2024","14","tests.api","test_api_signup","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 16:24:45 GMT 2024","Fri Jun 14 16:24:46 GMT 2024","687","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 16:24:36 GMT 2024","Fri Jun 14 16:24:36 GMT 2024","23","tests.api","test_api_signup","","","","test_should_return_400_if_field_validation_failed",""
"passed","Fri Jun 14 16:24:35 GMT 2024","Fri Jun 14 16:24:35 GMT 2024","22","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 16:24:35 GMT 2024","Fri Jun 14 16:24:36 GMT 2024","324","tests.api","test_api_signup","","","","test_should_return_422_if_username_exists",""
"passed","Fri Jun 14 16:24:35 GMT 2024","Fri Jun 14 16:24:35 GMT 2024","313","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 16:24:38 GMT 2024","Fri Jun 14 16:24:39 GMT 2024","740","tests","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 16:24:35 GMT 2024","Fri Jun 14 16:24:35 GMT 2024","342","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 16:24:44 GMT 2024","Fri Jun 14 16:24:44 GMT 2024","39","tests","test_home","","","","test_successful_login",""
"failed","Fri Jun 14 16:24:36 GMT 2024","Fri Jun 14 16:24:36 GMT 2024","304","tests.api","test_api_signup","","","","test_should_return_500_if_internal_server_error",""
"passed","Fri Jun 14 16:24:41 GMT 2024","Fri Jun 14 16:24:43 GMT 2024","2630","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 14 16:24:34 GMT 2024","Fri Jun 14 16:24:35 GMT 2024","747","tests.api","test_api_login","","","","test_successful_api_login",""
